Harvest ,Species,Treatment ,Treatment_2,Pot,Leaves_DW ,Stem_DW,AG_DW,BG_DW,Total_plant,Nodule,Nodules_W,Nodules_Present,Height ,R_S,Nodule_mass_fraction,root_mass_fraction
3,VE,16%,16,173,0.118,0.082,0.2,0.084,0.284,0,0,FALSE,115,0.42,0,0.295774648
1,VE,16%,16,174,0.11,0.1,0.21,0.031,0.241,0,0,FALSE,112,0.147619048,0,0.128630705
3,VE,16%,16,175,0.283,0.226,0.509,0.207,0.716,0,0,FALSE,188,0.406679764,0,0.289106145
2,VE,16%,16,176,0.076,0.063,0.139,0.049,0.188,0,0,FALSE,127,0.352517986,0,0.260638298
3,VE,8%,8,177,0.215,0.177,0.392,0.271,0.663,0,0,FALSE,174,0.691326531,0,0.408748115
2,VE,16%,16,178,0.222,0.126,0.348,0.083,0.431,0,0,FALSE,134,0.238505747,0,0.192575406
2,VE,16%,16,180,0.25,0.148,0.398,0.107,0.505,0,0,FALSE,189,0.268844221,0,0.211881188
1,VE,4%,4,181,0.119,0.048,0.167,0.027,0.194,0,0,FALSE,81,0.161676647,0,0.139175258
1,VE,16%,16,182,0.143,0.073,0.216,0.053,0.269,0,0,FALSE,109,0.24537037,0,0.197026022
1,VE,16%,16,183,0.082,0.03,0.112,0.029,0.141,0,0,FALSE,107,0.258928571,0,0.205673759
1,VE,16%,16,184,0.139,0.06,0.199,0.028,0.227,0,0,FALSE,84,0.140703518,0,0.123348018
2,VE,16%,16,185,0.178,0.158,0.336,0.108,0.444,0,0,FALSE,177,0.321428571,0,0.243243243
2,VE,16%,16,186,0.173,0.128,0.301,0.067,0.368,0,0,FALSE,168,0.222591362,0,0.182065217
1,VE,16%,16,188,0.071,0.04,0.111,0.02,0.131,0,0,FALSE,76,0.18018018,0,0.152671756
3,VE,4%,4,189,0.141,0.179,0.32,0.123,0.443,0,0,FALSE,144,0.384375,0,0.27765237
2,VE,8%,16,190,0.229,0.163,0.392,0.134,0.526,0,0,FALSE,173,0.341836735,0,0.254752852
3,VE,16%,16,191,0.354,0.295,0.649,0.364,1.013,0,0,FALSE,251,0.560862866,0,0.359328727
3,VE,16%,16,192,0.244,0.221,0.465,0.308,0.773,0,0,FALSE,178,0.662365591,0,0.398447607
3,VE,16%,16,193,0.326,0.291,0.617,0.274,0.891,0,0,FALSE,257,0.444084279,0,0.307519641
1,VE,4%,4,194,0.107,0.06,0.167,0.027,0.194,0,0,FALSE,81,0.161676647,0,0.139175258
2,VE,4%,16,194,0,0,0,0.029,0.029,0,0,FALSE,0,0,0,1
3,VE,4%,4,195,0.144,0.175,0.319,0.148,0.467,0,0,FALSE,134,0.463949843,0,0.316916488
2,VE,4%,16,197,0.107,0.048,0.155,0.038,0.193,0,0,FALSE,120,0.24516129,0,0.196891192
2,VE,4%,16,198,0.151,0.098,0.249,0.065,0.314,0,0,FALSE,135,0.261044177,0,0.207006369
2,VE,4%,16,199,0.173,0.138,0.311,0.107,0.418,0,0,FALSE,168,0.344051447,0,0.255980861
3,VE,8%,8,200,0.155,0.177,0.332,0.074,0.406,0,0,FALSE,160,0.222891566,0,0.18226601
2,VE,4%,16,201,0.074,0.065,0.139,0.045,0.184,0,0,FALSE,112,0.323741007,0,0.244565217
1,VE,4%,4,203,0.115,0.069,0.184,0.026,0.21,0,0,FALSE,92,0.141304348,0,0.123809524
3,VE,4%,4,205,0.16,0.139,0.299,0.126,0.425,0,0,FALSE,161,0.421404682,0,0.296470588
3,VE,8%,8,206,0.224,0.248,0.472,0.239,0.711,0,0,FALSE,225,0.506355932,0,0.336146273
2,VE,8%,16,207,0.182,0.133,0.315,0.067,0.382,0,0,FALSE,132,0.212698413,0,0.17539267
2,VE,4%,16,208,0.137,0.098,0.235,0.115,0.35,0,0,FALSE,129,0.489361702,0,0.328571429
3,VE,4%,4,220,0.175,0.182,0.357,0.175,0.532,0,0,FALSE,141,0.490196078,0,0.328947368
3,VE,8%,8,223,0.177,0.091,0.268,0.08,0.348,0,0,FALSE,144,0.298507463,0,0.229885057
2,VE,4%,16,227,0.08,0.056,0.136,0.034,0.17,0,0,FALSE,120,0.25,0,0.2
2,VE,16%,16,238,0.166,0.102,0.268,0.064,0.332,27,0.026,FALSE,157,0.23880597,0.078313253,0.192771084
1,VE,8%,8,243,0.113,0.051,0.164,0.016,0.18,0,0,FALSE,109,0.097560976,0,0.088888889
1,VE,8%,8,248,0.102,0.056,0.158,0.02,0.178,0,0,FALSE,93,0.126582278,0,0.112359551
2,VE,4%,16,278,0.097,0.092,0.189,0.09,0.279,0,0,FALSE,106,0.476190476,0,0.322580645
1,VE,8%,8,287,0.125,0.071,0.196,0.028,0.224,0,0,FALSE,130,0.142857143,0,0.125
3,VE,8%,8,289,0.215,0.261,0.476,0.255,0.731,0,0,FALSE,220,0.535714286,0,0.348837209
1,VE,4%,4,299,0.082,0.051,0.133,0.027,0.16,0,0,FALSE,62,0.203007519,0,0.16875
2,VE,4%,16,340,0.174,0.131,0.305,0.068,0.373,0,0,FALSE,154,0.22295082,0,0.18230563
3,VE,4%,4,341,0.111,0.122,0.233,0.11,0.343,0,0,FALSE,120,0.472103004,0,0.320699708
1,VS,8%,8,60-2,0.139,0.119,0.258,0.112,0.37,0,0,FALSE,100,0.434108527,0,0.302702703
